url,title,seendate,domain,language,country,themes_matched
https://finance.yahoo.com/news/tsmc-defies-gruesome-geopolitical-odds-192100842.html,TSMC Defies Gruesome Geopolitical Odds With Friends in High Places,2025-06-06 07:30:00+00:00,finance.yahoo.com,English,United States,
https://www.digitimes.com/news/a20250606PD236/globalfoundries-europe-germany-wafer-fab-expansion.html,GlobalFoundries plans major expansion of Dresden chip fab with EUR1 . 1 billion investment,2025-06-06 10:00:00+00:00,digitimes.com,English,China,germany_fab
https://www.tomshardware.com/pc-components/cpus/ase-adopts-amd-cpus-begins-evaluating-instinct-mi300-series-gpus-for-ai,ASE adopts AMD CPUs largest independent chip packaging and testing firm also begins evaluating Instinct MI300 - series GPUs for AI,2025-06-06 21:30:00+00:00,tomshardware.com,English,United States,
https://siliconangle.com/2025/06/06/dave-vellantes-breaking-analysis-complete-collection/,Dave Vellante Breaking Analysis : The complete collection,2025-06-07 19:30:00+00:00,siliconangle.com,English,United States,
https://edition.cnn.com/2025/06/07/tech/us-china-advanced-packaging-technology-cowos-ai-hnk-intl,What is advanced packaging and why is it key to the AI race between US and China,2025-06-07 22:30:00+00:00,edition.cnn.com,English,United States,advanced_packaging
https://ktvz.com/money/cnn-business-consumer/2025/06/07/why-this-key-chip-technology-is-crucial-to-the-ai-race-between-the-us-and-china/,Why this key chip technology is crucial to the AI race between the US and China,2025-06-08 02:00:00+00:00,ktvz.com,English,United States,
https://wccftech.com/nvidia-next-gen-rubin-ai-accelerators-to-enter-the-market-as-soon-as-septembe/,"NVIDIA Next - Gen Rubin AI Accelerators To Enter The Market as Soon As September , Just Six Months After Blackwell Ultra",2025-06-09 15:15:00+00:00,wccftech.com,English,United States,
https://finance.sina.com.cn/tech/roll/2025-06-10/doc-inezpywk5816318.shtml,1 . 1 亿欧元计划用于在德累斯顿建设 GF 晶圆,2025-06-10 02:00:00+00:00,finance.sina.com.cn,Chinese,China,
http://www.bignewsnetwork.com/news/278267566/taiwan-semiconductor-giant-tsmc-revenue-grows-by-396-in-may-2025-yoy,Taiwan semiconductor giant TSMC revenue grows by 39 . 6 % in May 2025 ( YoY ) ,2025-06-10 09:00:00+00:00,bignewsnetwork.com,English,United States,
https://www.tribuneindia.com/news/business/taiwans-semiconductor-giant-tsmcs-revenue-grows-by-39-6-in-may-2025-yoy/,Taiwan semiconductor giant TSMC revenue grows by 39 . 6 % in May 2025 ( YoY ) ,2025-06-10 09:00:00+00:00,tribuneindia.com,English,India,
https://www.tomshardware.com/tech-industry/semiconductors/tsmc-slows-down-global-plans-due-to-soft-demand-but-accelerates-arizona-fab-plans-by-six-months-for-a16-n2-production,"TSMC slows down global plans due to soft demand , but accelerates Arizona fab plans by six months for A16 / N2 production",2025-06-10 15:45:00+00:00,tomshardware.com,English,United States,n2_a16;overseas_fab
https://www.taipeitimes.com/News/biz/archives/2025/06/11/2003838385,UIS optimistic about second half of this year,2025-06-10 17:30:00+00:00,taipeitimes.com,English,Taiwan,
https://www.fool.com/investing/2025/06/14/should-you-buy-nvidia-chip-stocks-soaring-ai/,Should You Buy Nvidia ? These Chip Stocks Are Soaring as AI Demand Remains Hot . ,2025-06-14 13:00:00+00:00,fool.com,English,United States,
https://www.aol.com/buy-nvidia-chip-stocks-soaring-103500872.html,Should You Buy Nvidia ? These Chip Stocks Are Soaring as AI Demand Remains Hot . ,2025-06-14 14:45:00+00:00,aol.com,English,United States,
https://economictimes.indiatimes.com/news/international/us/nvidia-stock-price-prediction-2025-can-nvda-hit-250-after-39-rally-or-will-china-trade-bans-and-ai-chip-rivals-trigger-a-pullback/articleshow/122207809.cms,"NVDA stock forecast and outlook 2025 : Nvidia stock price prediction 2025 : Can NVDA hit $250 after 39 % rally , or will China trade bans and AI chip rivals trigger a pullback ? ",2025-07-02 14:00:00+00:00,economictimes.indiatimes.com,English,India,
https://www.investors.com/news/technology/tsm-stock-price-target-hike-ai-chip-growth/,TSM Stock Gets Price - Target Hike On AI Chip Growth | Investor Business Daily,2025-07-03 07:30:00+00:00,investors.com,English,United States,
https://www.digitimes.com/reports/item.asp?id=20250628RS401,"Global CoWoS players and capacity , 2025 - 2026",2025-07-04 09:00:00+00:00,digitimes.com,English,China,advanced_packaging
https://www.theregister.com/2025/07/04/project_rainier_deep_dive/,Amazon Project Rainier : AI supercomputer for Anthropic,2025-07-04 18:45:00+00:00,theregister.com,English,,
https://english.kyodonews.net:443/articles/-/56736,"Kyodo News Digest : July 5 , 2025",2025-07-05 01:45:00+00:00,english.kyodonews.net,English,Japan,
https://www.tomshardware.com/tech-industry/semiconductors/tsmc-swats-down-claims-it-is-delaying-its-japan-chipmaking-plant-to-prioritize-arizona-plants-to-avoid-us-tariffs-tsmc-says-us-investments-wont-impact-other-regions,TSMC swats down claims it is delaying its Japan chipmaking plant to prioritize Arizona plants to avoid US tariffs TSMC says US investments wont impact other regions,2025-07-05 13:30:00+00:00,tomshardware.com,English,United States,overseas_fab;japan_fab
http://www.citnews.com.cn/news/202507/203600.html,台积电驳斥推迟日本芯片厂建设说法 ， 强调美国投资不影响他国计划 _ 中文科技资讯 ,2025-07-06 17:15:00+00:00,citnews.com.cn,Chinese,China,
https://finance.sina.com.cn/tech/digi/2025-07-07/doc-infepnsi0745907.shtml,台积电驳斥推迟日本芯片厂建设说法 ， 强调美国投资不影响他国计划,2025-07-07 02:30:00+00:00,finance.sina.com.cn,Chinese,China,
https://news.webindia123.com/news/Articles/Business/20250707/4335469.html,TSMC denies media reports on US expansion impacting global projects,2025-07-07 06:30:00+00:00,news.webindia123.com,English,India,
http://www.austinglobe.com/news/278428312/tsmc-denies-media-reports-on-us-expansion-impacting-global-projects,TSMC denies media reports on US expansion impacting global projects,2025-07-07 06:30:00+00:00,austinglobe.com,English,United States,
http://www.bignewsnetwork.com/news/278428312/tsmc-denies-media-reports-on-us-expansion-impacting-global-projects,TSMC denies media reports on US expansion impacting global projects,2025-07-07 06:45:00+00:00,bignewsnetwork.com,English,United States,
http://www.kenyastar.com/news/278428312/tsmc-denies-media-reports-on-us-expansion-impacting-global-projects,TSMC denies media reports on US expansion impacting global projects,2025-07-07 07:30:00+00:00,kenyastar.com,English,Kenya,
http://www.heraldglobe.com/news/278428312/tsmc-denies-media-reports-on-us-expansion-impacting-global-projects,TSMC denies media reports on US expansion impacting global projects,2025-07-07 07:45:00+00:00,heraldglobe.com,English,United States,
http://www.chinanationalnews.com/news/278428312/tsmc-denies-media-reports-on-us-expansion-impacting-global-projects,TSMC denies media reports on US expansion impacting global projects,2025-07-07 08:00:00+00:00,chinanationalnews.com,English,China,
http://www.phoenixherald.com/news/278428312/tsmc-denies-media-reports-on-us-expansion-impacting-global-projects,TSMC denies media reports on US expansion impacting global projects,2025-07-07 09:00:00+00:00,phoenixherald.com,English,United States,
https://www.japanherald.com/news/278428312/tsmc-denies-media-reports-on-us-expansion-impacting-global-projects,TSMC denies media reports on US expansion impacting global projects,2025-07-07 09:45:00+00:00,japanherald.com,English,Japan,
http://www.japanherald.com/news/278428312/tsmc-denies-media-reports-on-us-expansion-impacting-global-projects,TSMC denies media reports on US expansion impacting global projects,2025-07-07 10:15:00+00:00,japanherald.com,English,Japan,
